"title","genre","nation","time","date","grade","director","star","aud_score","cri_score","net_score","SF","가족","공연실황","공포","느와르","다큐멘터리","드라마","멜로.로맨스","모험","무협","뮤지컬","미스터리","범죄","블랙코미디","서부","서사","서스펜스","스릴러","애니메이션","액션","에로","전쟁","코미디","판타지"
"에이리언 VS. 프레데터","['공포', '스릴러', '액션', '모험', 'SF', '전쟁']","미국",100,"2004.09.03","15세 관람가","폴 앤더슨","['산나 라단', '라울 보바', '랜스 헨릭슨']",NA,6.98,NA,"1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0"
"세븐","['범죄', '스릴러']","미국",127,"2016.10.26","청소년 관람불가","데이빗 핀처","['브래드 피트', '모건 프리먼']",9.8,8.75,8.63,"0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0"
"더 스토리: 세상에 숨겨진 사랑","['드라마', '미스터리', '멜로/로맨스']","미국",102,"2012.12.06","15세 관람가","브라이언 크러그만","['브래들리 쿠퍼', '제레미 아이언스', '조 샐다나']",NA,5,7.94,"0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"푸른소금","['드라마']","한국",120,"2011.08.31","15세 관람가","이현승","['송강호', '신세경']",NA,5.17,7.09,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"동창생","['액션', '드라마']","한국",113,"2013.11.06","15세 관람가","박홍수","['T.O.P', '한예리', '윤제문']",NA,5.45,7.32,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"가디언즈 오브 갤럭시","['액션', '모험', 'SF']","미국",122,"2014.07.31","12세 관람가","제임스 건","['크리스 프랫', '조 샐다나', '데이브 바티스타']",8.64,7.96,8.56,"1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"플레이","['드라마']","한국",99,"2011.06.23","전체 관람가","남다정","['정준일', '임헌일', '이현재']",NA,4.13,8.22,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"깡철이","['가족']","한국",108,"2013.10.02","15세 관람가","안권태","['유아인', '김해숙']",NA,5.55,6.95,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"유니버셜 솔저","['액션']","미국",99,"1992.08.01","청소년 관람불가","롤랜드 에머리히","['장 끌로드 반담', '돌프 룬드그렌']",NA,7.79,NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"베이컨시","['공포', '스릴러']","미국",84,"2007.09.27","청소년 관람불가","님로드 앤탈","['루크 윌슨', '케이트 베킨세일']",NA,7.23,NA,"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"디스트릭트 9","['SF', '액션', '스릴러', '드라마']","미국",112,"2009.10.15","청소년 관람불가","닐 블롬캠프","['샬토 코플리', '바네사 헤이우드', '제이슨 코프']",NA,7.94,8.95,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0"
"나의 독재자","['드라마']","한국",127,"2014.10.30","15세 관람가","이해준","['설경구', '박해일']",7.38,6.63,7.42,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"산다","['드라마']","한국",166,"2015.05.21","청소년 관람불가","박정범","['박정범', '이승연', '박명훈']",8.2,7.33,7.48,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"헤라클레스 : 레전드 비긴즈","['액션', '모험', '판타지']","미국",99,"2014.04.10","15세 관람가","레니 할린","['켈란 루츠', '가이아 와이즈', '스콧 앳킨스']",6.1,4.8,6.32,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
